ID,Name,Age,Hours_of_Sleep,Stress_Level,Exercise_Frequency,Work_Productivity,sleep_group
95,Logan,26,8.915371533,8.634615733,5,9.038906142,High
96,Mason,28,7.721264733,6.186218166,4,10.0,Normal
97,Abigail,27,6.226869784,3.935808629,2,10.0,Normal
98,Sophia,31,8.627164462,4.269963977,2,10.0,High
99,Mason,53,6.112457477,5.003474198,3,9.87140638,Normal
100,Mia,52,6.220903266,4.310219406,5,10.0,Normal
101,Charlotte,42,5.981775161,3.517639381,5,10.0,Low
102,Evelyn,43,5.876505966,5.808814554,4,8.847195231,Low
103,Logan,56,7.399807954,5.057605337,4,10.0,Normal
104,Evelyn,54,6.690517403,5.879441767,5,10.0,Normal
105,Liam,59,4.0,7.872774824,4,7.905123058,Low
106,Abigail,41,6.678084326,5.027294332,5,10.0,Normal
107,Abigail,46,6.378505293,3.129159991,1,10.0,Normal
108,Mia,54,8.071390437,4.702215015,5,10.0,High
109,Lucas,20,6.324089666,7.040850434,2,9.726940777,Normal
110,Aarav,54,10.0,6.853540541,4,10.0,High
111,Evelyn,56,8.676152295,6.537279295,5,10.0,High
112,Sophia,33,6.532107531,4.250586554,5,10.0,Normal
113,Emma,22,8.379547695,7.003805236,4,10.0,High
114,Mason,20,7.630254055,7.453798156,1,9.20134053,Normal
115,Charlotte,24,7.280158956,4.10915674,1,10.0,Normal
116,Liam,45,7.963182707,5.416859805,4,10.0,Normal
117,Sophia,33,7.064885049,9.540803927,0,8.493633766,Normal
118,Sophia,58,7.288421387,4.020251447,4,10.0,Normal
119,Evelyn,46,7.98802302,2.089826662,4,10.0,Normal
120,Charlotte,28,9.46294329,8.265808869,1,10.0,High
121,Isabella,34,7.301433967,7.773209543,1,8.173086738,Normal
122,Charlotte,34,6.455444002,4.586065353,4,10.0,Normal
123,Elijah,45,4.564922974,5.274016436,4,10.0,Low
124,Noah,32,9.353564166,3.0501299,4,10.0,High
125,Sophia,51,6.684109945,5.677904545,1,10.0,Normal
126,Ava,58,7.641771148,7.831827431,4,9.82774225,Normal
127,Amelia,51,9.287088684,4.414790316,4,10.0,High
128,Elijah,23,7.273122785,7.254203958,3,9.821886735,Normal
129,Lucas,49,6.766395686,6.427447715,0,8.788223126,Normal
130,Amelia,56,8.703607573,6.655633782,2,10.0,High
131,Aarav,42,7.552884481,4.531381639,0,10.0,Normal
132,Logan,58,7.703326726,4.790751634,3,10.0,Normal
133,Harper,34,5.172206955,1.806455131,2,10.0,Low
134,Lucas,48,8.447098249,4.366661175,4,10.0,High
135,Elijah,55,7.450705682,7.826970916,3,10.0,Normal
136,Evelyn,32,5.354092744,3.641335612,4,10.0,Low
137,Lucas,51,7.582112934,3.939396692,1,10.0,Normal
138,Amelia,26,4.524969191,6.780379647,5,8.934381275,Low
139,Sophia,41,9.810370243,6.305536584,3,10.0,High
140,Mia,47,5.67777424,6.8797265,1,9.408299297,Low
141,Harper,21,8.934151319,3.17355892,3,10.0,High
142,Olivia,25,6.024453342,10.0,3,6.40129232,Normal
143,Noah,47,7.672270853,3.068493252,1,10.0,Normal
144,Harper,47,5.905446092,5.808494627,2,9.204222083,Low
145,Amelia,39,8.196538266,5.182689008,0,10.0,High
146,Lucas,49,6.71761751,3.126716965,4,10.0,Normal
147,Liam,30,7.561335455,4.759581154,3,10.0,Normal
148,Evelyn,47,7.018077258,5.546615202,4,10.0,Normal
149,Jacob,44,5.361202256,4.200053576,5,10.0,Low
150,Sophia,58,7.604928232,7.374447243,1,9.464676749,Normal
151,Evelyn,52,6.396115017,5.176748509,4,10.0,Normal
152,Sophia,20,8.254375352,2.817450658,1,10.0,High
153,Olivia,46,6.71696823,2.647748935,4,10.0,Normal
154,Amelia,32,6.907883309,6.712330181,0,10.0,Normal
155,Jacob,22,9.019511757,2.526458435,0,10.0,High
156,Emma,58,9.857964153,6.132852146,0,10.0,High
157,Logan,25,7.943240747,6.389310371,0,10.0,Normal
158,Lucas,27,6.655431883,3.509289272,0,10.0,Normal
159,Lucas,46,6.550406406,7.281476168,0,8.285132056,Normal
160,Harper,28,6.017587618,2.064412752,1,10.0,Normal
161,Emma,56,6.24971418,6.092917868,3,9.464805526,Normal
162,Emma,52,6.671668308,5.418284133,4,10.0,Normal
163,Ava,43,9.35710356,5.262004049,0,10.0,High
164,Elijah,34,6.763333995,3.144206714,1,10.0,Normal
165,Isabella,51,5.528736395,3.625955991,1,10.0,Low
166,Ava,51,7.049998321,8.73760405,1,7.918414328,Normal
167,Olivia,43,7.213754111,7.930310018,3,9.812660783,Normal
168,Mason,31,7.042762552,6.984169177,4,9.288611742,Normal
169,Aarav,58,7.959629467,7.379696207,3,10.0,Normal
170,Lucas,21,7.082806614,7.192027089,2,10.0,Normal
171,Ethan,22,7.922472991,4.853287575,1,10.0,Normal
172,Logan,56,6.063587975,5.595207104,2,10.0,Normal
173,Abigail,36,9.136875326,2.554983244,5,10.0,High
174,Evelyn,21,7.302975746,5.320608746,0,10.0,Normal
175,Amelia,21,7.480262764,7.866828499,0,8.616169831,Normal
176,Mia,47,6.058585727,4.178585503,3,10.0,Normal
177,Liam,42,7.56619239,7.546282409,4,8.354517876,Normal
178,Isabella,56,7.781278068,5.683171477,2,10.0,Normal
179,Olivia,51,5.596277879,2.729256269,4,10.0,Low
180,Liam,52,5.009090094,3.285360973,3,10.0,Low
181,Isabella,20,7.352399228,7.338605739,0,8.292289479,Normal
182,Lucas,38,6.413476212,6.605048171,4,10.0,Normal
183,Isabella,21,7.311905763,5.703528146,4,10.0,Normal
184,Ava,45,5.450756715,4.951936372,0,8.536994412,Low
185,Emma,51,5.127392903,5.921135955,2,9.356284355,Low
186,Ava,25,7.248027356,7.260592499,0,10.0,Normal
187,Harper,51,6.580259487,8.451706561,4,7.722767679,Normal
188,Liam,23,4.467160575,8.547368399,2,7.217209076,Low
189,Noah,30,8.611718582,6.243919802,2,9.970196222,High
190,Amelia,36,5.430811518,5.156136619,0,9.246857442,Low
191,Elijah,57,10.0,5.792496016,4,10.0,High
192,Elijah,43,6.251179925,6.544240715,3,9.281825954,Normal
193,Isabella,24,7.481872682,6.536133888,4,10.0,Normal
194,Olivia,53,8.976338812,8.115973274,1,10.0,High
195,Mia,25,8.775320713,9.731511444,5,8.75856316,High
196,Emma,41,9.383363687,5.089490741,3,10.0,High
197,Jacob,30,5.172308513,9.811769818,2,6.182293321,Low
198,Aarav,35,5.636961403,7.844478494,3,7.66708865,Low
199,Ethan,52,7.271196729,5.29835402,2,10.0,Normal
200,Logan,28,8.007696925,8.497129678,2,9.089742404,High
201,Noah,25,6.986527068,8.871296603,3,7.971601224,Normal
202,Abigail,35,5.034407157,4.579409112,2,8.730547774,Low
203,Abigail,48,7.595893791,8.964430505,2,8.704231607,Normal
204,Noah,22,6.766898334,7.650165642,1,8.517708039,Normal
205,Noah,39,6.752513249,10.0,4,7.620018468,Normal
206,Logan,55,4.266459499,4.651922836,4,9.985805511,Low
207,Ethan,38,7.956981045,4.793146513,5,9.601160326,Normal
208,Charlotte,45,7.174244872,1.446675741,5,10.0,Normal
209,Logan,22,9.154197468,6.642387841,1,10.0,High
210,Evelyn,38,6.910590824,6.250502511,5,9.7997055,Normal
211,Elijah,39,7.679608157,4.374012657,3,9.501450002,Normal
212,Abigail,51,7.998181811,5.336298537,0,9.63735964,Normal
213,Abigail,26,4.90460613,2.87755798,0,10.0,Low
214,Evelyn,52,10.0,7.896889906,0,9.699468088,High
215,Olivia,59,6.483049134,4.520601051,1,10.0,Normal
216,Aarav,58,7.593479923,10.0,1,7.99363436,Normal
217,Evelyn,37,7.768698408,5.148797399,2,10.0,Normal
218,Aarav,59,6.022259046,3.980762318,0,10.0,Normal
219,Elijah,20,9.216376398,4.675373763,3,10.0,High
220,Abigail,30,7.319146323,2.676078047,5,10.0,Normal
221,Abigail,47,6.743832836,6.464543781,3,9.399309339,Normal
222,Isabella,44,7.166209555,4.6602006,5,10.0,Normal
223,Lucas,42,7.917102638,7.762505581,0,8.83642574,Normal
224,Mia,50,7.012957798,4.95050501,0,10.0,Normal
225,Mia,49,8.058315892,8.268884223,0,9.173536789,High
226,Liam,54,4.978153433,7.014911499,1,9.444623446,Low
227,Aarav,26,6.102436012,5.557193553,5,10.0,Normal
228,Logan,35,4.433439622,8.660465175,1,7.914409371,Low
229,Emma,45,9.396409788,7.404586922,1,10.0,High
230,Elijah,21,9.380790553,10.0,4,8.61817489,High
231,Mia,20,7.751939281,4.68108951,3,10.0,Normal
232,Olivia,31,5.784858315,5.653232211,3,9.233009601,Low
233,Liam,24,9.867853927,8.637418022,2,10.0,High
234,Lucas,56,6.274702626,2.412924376,1,10.0,Normal
235,Jacob,51,6.744151448,8.133887126,5,9.664937612,Normal
236,Noah,28,7.191440087,6.378605515,4,9.236202598,Normal
237,Amelia,54,7.54181913,3.723578489,4,10.0,Normal
238,Jacob,38,7.772563122,2.773920683,3,10.0,Normal
239,Jacob,35,7.820753965,4.155021054,1,10.0,Normal
240,Elijah,22,6.826571098,1.0,2,10.0,Normal
241,Ethan,39,7.801721142,4.520921113,1,10.0,Normal
242,Mason,43,6.772950809,6.745112667,0,8.375404987,Normal
243,Ethan,52,7.695164124,4.547398718,1,10.0,Normal
244,Ava,43,7.596750133,8.276625403,0,9.700874766,Normal
245,Liam,30,7.915416749,8.819895205,0,8.820487878,Normal
246,Charlotte,27,7.765560039,8.051288965,2,8.597113297,Normal
247,Olivia,55,6.46908115,5.961281821,5,10.0,Normal
248,Isabella,57,7.550452206,1.0,3,10.0,Normal
249,Abigail,59,7.784079685,4.092605016,1,10.0,Normal
250,Mason,39,5.450650733,5.215922946,0,8.878820029,Low
251,Evelyn,54,6.671146771,3.712264701,1,10.0,Normal
252,Abigail,44,7.729736669,5.220989049,5,10.0,Normal
253,Elijah,54,9.051150994,8.720134937,3,10.0,High
254,Ava,44,7.989880223,2.208446941,5,10.0,Normal
255,Mia,48,9.126853584,9.123384112,3,9.575284547,High
256,Harper,37,6.521951932,7.269452844,4,10.0,Normal
257,Jacob,37,7.300228591,6.036433617,3,9.415630598,Normal
258,Harper,21,7.966882359,4.072766889,2,10.0,Normal
259,Ethan,54,4.208377944,3.752099309,5,10.0,Low
260,Charlotte,35,8.812963862,2.247564571,0,10.0,High
261,Charlotte,55,4.766908143,8.933530961,4,7.591265167,Low
262,Olivia,52,8.196328082,8.57522312,2,10.0,High
263,Mason,23,7.824198149,2.687430743,1,10.0,Normal
264,Noah,52,4.192488397,4.39474401,5,10.0,Low
265,Liam,33,4.253126492,6.366289538,0,6.344863984,Low
266,Aarav,40,8.718978301,4.900981724,3,10.0,High
267,Noah,39,8.457666472,1.662650486,0,10.0,High
268,Mason,27,5.942963627,4.184454479,1,9.945860075,Low
269,Ava,26,5.941745326,9.402068596,4,7.589921224,Low
270,Olivia,22,7.615125967,4.320042819,4,10.0,Normal
271,Emma,36,6.984707019,5.173065327,5,10.0,Normal
272,Isabella,52,8.265274259,3.209645152,4,10.0,High
273,Olivia,31,7.575497109,6.675525971,5,9.691528323,Normal
274,Noah,41,8.899636953,5.730303598,5,10.0,High
275,Emma,41,8.164093333,4.015960517,5,10.0,High
276,Logan,49,7.864927659,2.890689208,3,10.0,Normal
277,Abigail,57,6.577450336,8.309086748,2,7.375518103,Normal
278,Elijah,57,6.489614519,2.288913187,5,10.0,Normal
279,Liam,27,6.937889218,6.507631391,5,9.321181811,Normal
280,Mia,46,9.209131684,1.192241511,2,10.0,High
281,Sophia,46,6.512470325,6.914423366,0,10.0,Normal
282,Liam,53,7.312634784,7.440597775,5,10.0,Normal
283,Isabella,40,4.306236511,7.689567423,3,7.77676127,Low
284,Ava,49,7.810970476,5.177583063,4,10.0,Normal
285,Ethan,52,9.708637937,8.668007211,4,10.0,High
286,Ethan,47,5.879634269,10.0,1,9.509541255,Low
287,Sophia,52,10.0,4.856753728,1,10.0,High
288,Abigail,24,7.218688726,4.59798994,4,10.0,Normal
289,Noah,38,4.0,5.798354521,4,8.797414872,Low
290,Jacob,23,6.537354112,4.544639708,3,10.0,Normal
291,Mason,54,8.596526276,4.252259608,2,10.0,High
292,Olivia,36,9.399180647,4.42652292,1,10.0,High
293,Amelia,47,7.861718258,8.931512016,2,9.121092023,Normal
294,Sophia,49,8.881113305,7.04376399,3,10.0,High
295,Jacob,48,5.58665735,4.538107745,4,10.0,Low
296,Olivia,25,6.183686095,1.0,5,10.0,Normal
297,Mason,54,4.984648862,2.411071013,2,10.0,Low
298,Mia,56,6.273924309,6.506858165,4,10.0,Normal
299,Liam,43,7.914302784,1.256888117,4,10.0,Normal
300,Elijah,48,7.255186915,6.085987055,0,10.0,Normal
301,Evelyn,50,8.041418844,3.36887255,2,10.0,High
302,Liam,54,5.876183179,5.683611549,5,8.86714605,Low
303,Harper,52,5.949369968,5.627712603,2,9.127500371,Low
304,Jacob,40,7.245532251,5.741179868,4,10.0,Normal
305,Charlotte,51,6.276822634,4.711156306,5,9.934819114,Normal
306,Harper,42,8.562219002,4.645428749,3,10.0,High
307,Mason,52,6.247097339,4.058419162,0,10.0,Normal
308,Olivia,22,6.405532908,6.467784634,4,10.0,Normal
309,Ethan,37,7.502607297,7.11038535,1,9.205253522,Normal
310,Harper,44,6.53285417,3.062054955,1,9.699819753,Normal
311,Ava,50,5.518066728,5.396743055,0,9.621588469,Low
312,Logan,22,5.68077301,5.893164147,3,9.593129597,Low
313,Harper,59,7.64531915,5.867542269,4,10.0,Normal
314,Isabella,43,5.369546183,5.833539239,2,9.460649455,Low
315,Isabella,51,8.676597313,4.695930379,0,10.0,High
316,Emma,41,6.171520859,6.058060851,3,10.0,Normal
317,Mia,42,7.73945898,6.736057422,2,10.0,Normal
318,Logan,21,6.243504851,5.782073312,1,8.30802406,Normal
319,Lucas,46,5.901710344,6.511879673,1,8.730733699,Low
320,Isabella,21,7.295324419,7.480706822,2,8.818034019,Normal
321,Logan,45,8.26214016,1.798119284,0,10.0,High
322,Olivia,36,6.703158699,7.386927684,1,9.835362403,Normal
323,Harper,59,6.921427175,6.18485553,4,10.0,Normal
324,Abigail,52,7.968900833,3.276749345,5,10.0,Normal
325,Mason,28,8.0086327,7.104941765,2,9.965747695,High
326,Liam,58,6.953809936,4.703358188,2,9.797210599,Normal
327,Sophia,48,6.467824129,4.976067127,1,9.456523499,Normal
328,Logan,45,7.099187151,4.484640435,0,10.0,Normal
329,Aarav,54,6.77090621,6.104797688,4,10.0,Normal
330,Jacob,44,7.375568982,3.929293715,0,10.0,Normal
331,Olivia,43,5.566875488,7.30294926,3,8.936277871,Low
332,Logan,32,7.332617895,5.222274826,3,9.886532058,Normal
333,Mia,26,6.138035901,4.771595033,5,10.0,Normal
334,Emma,55,8.087065134,7.005751355,1,10.0,High
335,Ava,39,6.193038581,4.860886475,1,10.0,Normal
336,Mason,20,6.213868279,7.396353651,1,9.453208855,Normal
337,Ethan,27,7.534478589,7.459185902,5,8.952908463,Normal
338,Sophia,35,7.017054267,2.830392324,3,10.0,Normal
339,Aarav,33,9.731981952,7.718520404,0,10.0,High
340,Mason,31,5.044836867,2.575928057,5,10.0,Low
341,Ethan,42,7.131823536,7.843161054,5,8.804920479,Normal
342,Logan,34,8.355579382,9.556714384,0,8.807738573,High
343,Emma,47,6.306023292,7.249668877,1,9.267259231,Normal
344,Mia,53,5.907330586,1.186038711,4,10.0,Low
345,Mia,21,5.954962423,7.627131439,0,9.732754551,Low
346,Elijah,51,5.065646584,9.992257932,3,8.086993673,Low
347,Sophia,42,8.619645553,4.893936718,2,10.0,High
348,Sophia,41,6.60445919,5.43059336,2,8.565557226,Normal
349,Abigail,44,6.462367432,3.123026556,5,10.0,Normal
350,Abigail,41,4.451082311,6.124158838,2,8.811583688,Low
351,Noah,41,5.279549713,8.038354365,4,7.927446015,Low
352,Logan,25,8.758467707,6.895474256,1,10.0,High
353,Logan,34,7.363726799,10.0,3,7.996887643,Normal
354,Amelia,56,8.399800996,5.566054086,4,10.0,High
355,Harper,52,8.247990928,2.238653265,3,10.0,High
356,Mason,27,5.799255663,5.841941943,3,9.417156119,Low
357,Elijah,24,9.915817274,1.0,1,10.0,High
358,Aarav,58,9.339679115,4.43379215,5,10.0,High
359,Logan,23,6.323480269,8.748764117,2,10.0,Normal
360,Noah,25,4.0,6.150267297,1,7.414272902,Low
361,Mason,51,6.572161492,5.858833626,4,8.718882135,Normal
362,Olivia,49,7.285955515,9.141560753,5,10.0,Normal
363,Olivia,54,6.318737158,4.958800217,4,10.0,Normal
364,Evelyn,59,6.734173484,8.023640826,5,9.202838151,Normal
365,Logan,35,6.005610356,5.75861395,4,10.0,Normal
366,Jacob,32,8.105961662,6.260094927,1,9.73172232,High
367,Lucas,49,7.076359888,3.065390288,5,10.0,Normal
368,Abigail,38,8.141816876,4.53590641,5,10.0,High
369,Noah,36,8.466644015,2.704963534,3,10.0,High
370,Ava,38,4.390811723,5.309509844,3,8.374864504,Low
371,Charlotte,47,6.075373347,6.280804688,0,10.0,Normal
372,Aarav,45,6.251164848,3.27992379,4,10.0,Normal
373,Charlotte,56,10.0,9.598357845,3,9.671434147,High
374,Emma,45,7.17880644,6.056212038,0,9.949492619,Normal
375,Olivia,42,7.975072716,5.615591171,3,9.810464359,Normal
376,Jacob,28,4.743169877,7.039315503,4,9.318466835,Low
377,Sophia,31,7.171858543,3.842143838,5,10.0,Normal
378,Aarav,20,8.173951579,5.826954958,2,9.927050252,High
379,Logan,20,8.034358102,4.066267559,4,10.0,High
380,Ava,53,7.748079327,8.61735982,1,9.434930991,Normal
381,Jacob,51,7.015600608,3.382721301,3,10.0,Normal
382,Aarav,44,7.073882345,5.626330919,3,10.0,Normal
383,Liam,59,4.96808059,6.15863157,5,10.0,Low
384,Harper,20,5.919360538,6.289651489,1,10.0,Low
385,Sophia,35,7.277132748,4.337529654,5,10.0,Normal
386,Ava,58,6.140829032,3.708981196,1,10.0,Normal
387,Elijah,24,7.826605896,4.366409654,2,10.0,Normal
388,Harper,41,7.56013906,6.556650868,3,10.0,Normal
389,Noah,48,8.640844306,5.212308458,3,10.0,High
390,Jacob,22,8.149904591,7.092417617,2,9.734324416,High
391,Amelia,31,7.272713691,6.454007439,0,9.272914881,Normal
392,Harper,45,7.897576521,1.0,5,10.0,Normal
393,Lucas,35,8.206122595,5.994995594,2,10.0,High
394,Isabella,56,6.391075257,10.0,5,8.084307455,Normal
395,Abigail,41,6.604802802,8.150538102,4,9.091416572,Normal
396,Olivia,48,6.883808755,6.344026321,3,10.0,Normal
397,Amelia,33,6.429363347,3.381215739,5,10.0,Normal
398,Emma,47,8.218824334,6.455107432,1,9.638335455,High
399,Jacob,24,6.24722735,6.97949988,5,8.66805135,Normal
400,Liam,49,8.501981766,4.992506638,4,10.0,High
401,Ava,24,6.559632161,6.133484118,3,10.0,Normal
402,Ethan,31,7.566875971,8.519324917,2,7.387172819,Normal
403,Charlotte,35,7.199698179,3.785451161,4,10.0,Normal
404,Noah,45,5.82882423,3.38340079,3,10.0,Low
405,Evelyn,45,6.976132325,6.885398652,5,9.284093491,Normal
406,Harper,40,7.400372238,6.415085272,0,10.0,Normal
407,Jacob,58,6.922848775,7.557676591,0,8.548051958,Normal
408,Jacob,55,5.38875213,6.639587624,1,9.313269031,Low
409,Evelyn,52,9.041715092,4.364489874,3,10.0,High
410,Abigail,49,7.105239379,6.364385303,0,9.676831982,Normal
411,Harper,56,6.04683691,3.215746913,2,10.0,Normal
412,Ava,42,8.944921628,4.999362577,3,10.0,High
413,Aarav,29,7.740867772,6.505598462,2,10.0,Normal
414,Logan,24,5.559796004,4.778971567,2,9.84127882,Low
415,Amelia,55,5.746606304,10.0,0,5.599222285,Low
416,Lucas,53,6.733126336,1.715631502,3,10.0,Normal
417,Liam,50,7.356768375,4.405019286,5,10.0,Normal
418,Amelia,29,7.747359798,3.624440332,4,10.0,Normal
419,Logan,38,8.140214175,4.099302385,0,10.0,High
420,Sophia,51,7.647486888,4.214003553,0,10.0,Normal
421,Aarav,20,8.616095174,2.847158626,5,10.0,High
422,Liam,24,7.152151792,7.005404297,3,10.0,Normal
423,Charlotte,23,6.088432743,4.405809405,3,10.0,Normal
424,Liam,35,6.995978956,5.827146671,2,9.095407894,Normal
425,Aarav,43,6.917223208,4.630348476,5,10.0,Normal
426,Evelyn,35,4.0,4.118239175,5,10.0,Low
427,Harper,21,6.326359769,8.844558472,3,8.698799829,Normal
428,Mia,47,7.37704448,7.345864364,2,9.805871779,Normal
429,Jacob,51,6.490941322,1.7635992,0,10.0,Normal
430,Liam,46,6.224548766,1.551725103,1,10.0,Normal
431,Emma,39,8.093651435,7.585217671,4,10.0,High
432,Mason,43,5.90014501,4.460293217,0,10.0,Low
433,Ethan,31,7.853947181,2.201835332,3,10.0,Normal
434,Olivia,54,5.400706635,7.591470265,4,9.985998062,Low
435,Aarav,52,10.0,5.8382481,1,10.0,High
436,Elijah,52,6.741177368,6.00314217,1,9.04142243,Normal
437,Abigail,56,6.612081653,7.119078544,2,9.653610588,Normal
438,Ethan,31,8.371679083,2.880045683,4,10.0,High
439,Mason,22,6.497554191,2.236998357,2,10.0,Normal
440,Charlotte,20,8.74591337,8.66190859,0,10.0,High
441,Jacob,52,7.445912597,2.625666479,5,10.0,Normal
442,Abigail,59,6.857922519,3.055524406,5,10.0,Normal
443,Evelyn,29,6.729992916,3.455129241,5,10.0,Normal
444,Isabella,48,8.449110605,9.659891847,4,7.597924195,High
445,Mia,32,7.276584658,6.486766601,5,10.0,Normal
446,Ava,31,7.518770477,7.430815949,0,10.0,Normal
447,Isabella,50,7.649202247,5.892335091,2,10.0,Normal
448,Logan,21,7.159523422,4.296225578,4,10.0,Normal
449,Emma,54,7.623846672,6.762582567,2,9.180719201,Normal
450,Sophia,42,6.858011893,2.386768058,4,10.0,Normal
451,Liam,36,6.940229642,3.309433096,2,10.0,Normal
452,Mia,45,5.657062086,6.965950359,1,8.609851515,Low
